experiment_duration,user_id,enthusiast,age,gender,education,region,openness,conscientiousness,Extroversion,agreeableness,neuroticism,Familiarity_SelectedSong,PleasantSurprise_SelectedSong,MatchInterests_SelectedSong,selected_recommendation_id,selected_position,explanation,explanation type,confidence,usefulness,persuasion,transparency,comprehensibility,fairness,accuracy,compelling,check,trustworthy,satisfaction,system,comment,quality_Agreeableness,quality_Conscientiousness,quality_Extroversion,quality_Neuroticism,quality_Openness,quality_FeatureBased,taste_Agreeableness,taste_Conscientiousness,taste_Extroversion,taste_Neuroticism,taste_Openness,taste_FeatureBased,listen_Agreeableness,listen_Conscientiousness,listen_Extroversion,listen_Neuroticism,listen_Openness,listen_FeatureBased
0:15:15,68,3,3,1,6,4,3.5,3.75,3.5,4.0,3.25,3,4,4,88,1,"Esta faixa eletrônica combina batidas enérgicas com vocais inspiradores, apresentando uma produção polida que destaca uma construção dinâmica e crescentes sintetizadores. A estrutura progressiva mantém o ouvinte engajado, enquanto os elementos sonoros são cuidadosamente equilibrados para criar um ambiente sonoro otimista e encorajador, perfeito para momentos que exigem determinação e persistência.",feature based,4,4,4,4,4,4,4,4,3,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
0:10:11,69,5,4,1,4,4,4.25,3.0,4.25,4.0,3.75,5,5,5,64,1,"Esta faixa apresenta uma batida cativante e envolvente, com uma mistura perfeita de elementos pop e eletrônicos. O refrão é poderoso e memorável, impulsionado por vocais fortes e arranjos sonoros dinâmicos. A composição traz uma narrativa intrigante e dramática, mantendo o ouvinte preso do início ao fim.",feature based,5,5,5,5,5,4,5,5,3,4,4,5,,5,4,5,4,5,5,5,3,4,3,5,5,5,3,4,3,5,5
0:22:20,70,4,4,1,6,5,3.25,3.5,2.25,3.5,4.0,5,5,4,94,1,"Com um som vibrante e envolvente, essa faixa oferece uma experiência auditiva única que ressoa positividade. O ritmo dinâmico e refrão cativante proporcionam energia, promovendo sorrisos e bons momentos. As harmonias doces e a produção impecável criam uma atmosfera que acolhe e cativa, perfeita para iluminar qualquer ambiente ou humor.",agreeableness ,4,4,4,3,4,3,4,4,3,4,4,3,"Acho que pra mim como não achei as músicas que pensei na hora, meio que ficou redundante algumas indicações, daí meio que achei meio parecidas as indicações pelo menos na parte das batidas das músicas ",4,4,4,4,3,3,4,4,3,3,2,3,4,3,4,4,1,2
0:07:40,71,5,2,1,2,5,4.75,3.0,3.5,3.75,4.25,2,4,3,46,1,"Essa faixa mistura eletrônica com toques emocionais, criando uma jornada sonora única. A letra inspiradora incentiva a superar desafios, embalados por batidas empolgantes. A combinação de ritmos inovadores e mensagens motivacionais ressoa com aqueles que buscam explorar novos horizontes e experimentar a música como uma forma de arte transformadora.",openness,4,4,4,4,4,4,5,4,3,4,4,4,Gostei que trás um pouco de cada coisa que eu gosto das músicas escolhidas,4,5,4,5,5,5,3,4,4,4,4,4,3,4,4,4,4,4
0:10:08,73,4,4,1,4,2,4.0,4.0,3.75,4.75,2.25,4,4,4,63,6,"A energia intensa e crua ressoa com quem busca explorar novas dimensões emocionais. As letras profundas provocam reflexão e introspecção, tocando temas universais de forma ousada. A fusão de gêneros desafia convenções musicais, encorajando uma escuta ativa e interpretativa, ideal para aqueles dispostos a embarcar em jornadas sonoras transformadoras.",openness,5,4,5,4,4,5,4,4,3,5,5,5,,4,5,5,4,4,5,4,5,5,4,5,5,4,5,5,4,5,5
0:20:50,74,3,2,1,5,3,4.0,4.25,5.0,4.75,3.25,2,5,5,107,2,"Explore uma explosão sonora com riffs de guitarra cativantes e um ritmo pulsante que energiza instantaneamente o ouvinte. O vocal animado flui com uma intensidade magnética, perfeitamente encapsulado por uma linha de baixo robusta e contagiante. A composição equilibrada entre o rock contemporâneo e clássico garante uma experiência musical irresistível de início ao fim.",feature based,4,5,3,5,5,5,5,4,3,4,4,5,Gostei da experiência! Estou ansiosa para saber quais músicas me foram recomendadas para eu ter uma visão melhor se o experimento funcionou.,4,4,4,5,5,5,3,4,4,4,4,5,3,4,4,4,4,5
0:07:39,75,4,3,1,4,4,3.5,3.5,1.5,4.5,3.0,5,5,5,53,2,"Para indivíduos que apreciam a estrutura e a estratégia, essa faixa oferece um ritmo energizante e otimista que inspira perseverança. A batida marcante e a letra encorajadora ressoam com aqueles que enfrentam desafios com determinação. Essa combinação energiza e promove foco, mantendo o ouvinte motivado em suas tarefas diárias.",conscientiousness,4,4,3,3,2,3,4,3,3,3,3,5,,4,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4
0:15:14,76,3,4,1,2,4,4.0,4.5,3.0,4.75,3.5,2,4,4,75,6,"Com uma melodia etérea e envolvente, a canção oferece um refúgio sonoro, promovendo calma e introspecção. As camadas sonoras delicadas e harmoniosas criam um ambiente seguro e acolhedor. A suavidade nas vocais transporta o ouvinte para um estado de tranquilidade, proporcionando uma sensação de paz e equilíbrio interior.",neuroticism  ,5,5,5,5,5,5,5,5,3,4,5,5,,5,5,5,5,4,4,3,5,5,4,2,3,3,5,5,5,2,2
0:08:32,77,4,3,1,4,5,4.0,4.25,2.0,3.75,4.75,5,5,5,80,5,"Esta faixa apresenta uma produção envolvente e um ritmo cativante que captura a atenção, promovendo foco em momentos difíceis. Sua energia vibrante eleva o humor e transporta o ouvinte para um estado de confiança e ousadia. As batidas consistentes ajudam a estabilizar emoções e fornecem um escape estiloso e poderoso.",neuroticism  ,5,4,3,2,4,3,4,2,3,3,5,4,,4,4,4,5,3,5,3,4,4,5,3,5,4,4,4,5,2,5
0:06:39,78,3,4,1,6,4,4.75,4.25,3.5,4.5,4.0,1,4,4,84,3,"Essa música envolve o ouvinte em uma melodia suave e vocais emotivos, criando um ambiente de serenidade. Sua harmonia sutil e letras poéticas tocam o coração, alimentando a imaginação e promovendo introspecção. É uma expressão musical que ressoa com aqueles que valorizam momentos de contemplação e beleza serena.",agreeableness ,5,5,5,5,5,4,5,5,3,5,5,5,,5,4,5,5,3,5,5,4,5,5,3,5,5,4,5,5,4,5
0:14:01,79,3,2,2,6,1,4.75,4.5,1.75,5.0,4.75,5,4,4,112,1,"Essa música tem uma melodia suave e letras emotivas, proporcionando uma sensação de calma e conforto. Ela ajuda a suavizar emoções intensas, oferecendo um momento de reflexão pacífica. As notas sussurrantes envolvem o ouvinte em uma tranquilidade reconfortante, permitindo um espaço seguro para processar e liberar sentimentos internos complexos.",neuroticism  ,5,4,2,5,3,5,5,4,3,4,4,2,,4,4,5,5,5,3,4,4,5,5,5,4,4,4,5,5,5,4
0:06:16,80,4,4,1,4,3,3.0,3.25,2.5,4.0,3.5,5,5,1,105,6,"O som profundo e emocional deste clássico evoca compreensão e empatia, ressoando com corações abertos e receptivos. As melodias sinceras e a interpretação autêntica estimulam uma poderosa conexão emocional, promovendo introspecção e compreensão. É uma escolha perfeita para aqueles que valorizam experiências musicais genuínas, transmitindo sentimentos profundos e universais.",agreeableness ,4,5,5,4,5,5,5,5,3,5,5,5,,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4
0:12:16,81,4,2,1,3,2,4.0,3.25,4.0,3.75,4.0,2,4,3,121,4,"Esta canção cativa pela sua narrativa emocional complexa, manifestando vulnerabilidade e força emocional. Com melodias intensas e letras introspectivas, convida a uma jornada de autodescoberta. Sua riqueza lírica e o arranjo musical evocativo estimulam a contemplação profunda, proporcionando uma experiência auditiva que ressoa com aqueles que gostam de explorar camadas emocionais e narrativas ricas.",openness,4,4,5,4,5,4,4,5,3,4,4,5,"Achei bastante interessante a forma como foi descrita, eu usaria super esse programa ",5,5,5,5,4,4,4,4,5,5,3,4,3,4,4,4,3,3
0:14:37,83,4,2,1,3,4,5.0,4.0,2.25,5.0,3.25,5,5,5,134,5,"Com uma fusão vibrante de pop e elementos retrô, a melodia exala energia e inovação. Letras poéticas e ritmo cativante convidam a explorar emoções profundas e dançar livremente. A harmonia experimental e a produção refinada estimulam a imaginação, tornando-a ideal para quem aprecia surpresas sonoras e narrativas dinâmicas.",openness,5,5,5,5,5,4,4,5,3,4,5,5,"Gostei de como as músicas foram descritas, me deixou curiosa para ouvir",4,4,4,4,5,4,4,2,5,5,5,3,4,2,4,5,4,3
0:11:40,85,5,4,1,3,4,4.5,3.75,4.0,4.25,4.25,2,4,4,127,4,"Esta composição instrumental de uma trilha sonora cinematográfica destaca-se por suas camadas sonoras crescentes, que combinam piano suave com cordas impactantes e percussão discreta. Um crescendo harmônico eleva a experiência auditiva, proporcionando uma jornada sonora que sutilmente transforma simplicidade em grandiosidade, mantendo um equilíbrio entre repetição e variação melódica.",feature based,4,3,4,4,3,3,3,2,3,4,3,4,,5,3,4,4,3,4,5,4,4,3,3,4,5,4,4,4,3,4
